City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dhidhdhoo,6.8833,73.1,27.95,75,100,4.81,MV,1694565916
83,san patricio,28.017,-97.5169,32.97,59,7,6.28,US,1694566123
84,morteros,-30.7116,-61.9986,12.23,34,72,4.07,AR,1694566123
85,ziniare,12.5822,-1.2983,27.02,79,100,2.54,BF,1694566123
86,weno,7.4515,151.8468,31.97,74,75,2.57,FM,1694566124
87,mamadysh,55.7152,51.408,11.6,87,45,2.24,RU,1694566124
88,isangel,-19.55,169.2667,26.06,69,75,4.12,VU,1694566124
89,chervyen',53.7059,28.4313,14.17,67,8,3.4,BY,1694566124
90,beihai,21.4833,109.1,28.13,81,83,4.02,CN,1694566124
91,galatsi,38.0192,23.7571,22.92,46,0,5.14,GR,1694566124
92,san juan de miraflores,-12.1629,-76.9635,17.87,87,76,3.3,PE,1694566124
93,georgetown,5.4112,100.3354,26.96,81,20,2.68,MY,1694566040
94,bayji,34.9311,43.487,29.2,25,0,3.22,IQ,1694566125
95,punta arenas,-53.15,-70.9167,7.06,57,100,6.17,CL,1694566125
96,hilo,19.7297,-155.09,27.92,74,0,0.89,US,1694565955
97,susuman,62.7833,148.1667,5.73,70,100,1.99,RU,1694566125
98,xinmin,41.9908,122.8253,20.77,41,0,1.13,CN,1694566125
99,vadso,70.0744,29.7487,8.09,81,100,3.09,NO,1694566125
100,holualoa,19.6228,-155.9522,27.91,81,75,5.14,US,1694566125
101,port lincoln,-34.7333,135.8667,20.62,43,65,4.9,AU,1694566126
102,jamestown,42.097,-79.2353,17.77,98,100,2.57,US,1694565999
103,wucheng,29.6008,118.175,24.53,97,100,1.17,CN,1694566126
104,selfoss,63.9331,-20.9971,3.36,82,100,3.25,IS,1694566126
105,yemetsk,63.4721,41.7941,9.29,90,53,3.39,RU,1694566126
106,udachny,66.4167,112.4,3.03,100,100,10.71,RU,1694566126
107,colonia,50.9333,6.95,19.92,89,100,2.06,DE,1694566126
108,smara,26.7384,-11.6719,20.7,79,0,6.29,EH,1694566127
109,san antonio de pale,-1.4014,5.6325,23.6,83,79,6.11,GQ,1694566127
110,alofi,-19.0595,-169.9187,25.94,69,75,7.2,NU,1694565986
111,isafjordur,66.0755,-23.124,7.28,76,100,2.92,IS,1694566127
112,qaqortoq,60.7167,-46.0333,3.93,76,4,0.78,GL,1694566127
113,lebu,-37.6167,-73.65,9.06,86,18,0.31,CL,1694566127
114,kyabe,9.4515,18.9449,23.14,92,28,0.3,TD,1694566127
115,dudinka,69.4058,86.1778,4.79,83,100,6.02,RU,1694566128
116,klyuchi,52.2667,79.1667,12.92,74,100,2.68,RU,1694566128
117,bonthe,7.5264,-12.505,24.81,92,29,1.88,SL,1694566128
118,new norfolk,-42.7826,147.0587,18.57,41,100,2.29,AU,1694566128
119,upington,-28.4478,21.2561,5.21,24,0,1.03,ZA,1694566128
120,enewetak,11.3474,162.3373,29.23,76,65,6.92,MH,1694566128
121,mejit,10.2753,170.8646,28.67,76,19,6.17,MH,1694566128
122,waiuku,-37.25,174.75,17.61,70,10,5.42,NZ,1694566129
123,as sulayyil,20.4607,45.5779,33.14,17,0,2.8,SA,1694566129
124,jining,35.405,116.5814,23.36,74,31,4.12,CN,1694566129
125,redencao,-4.2258,-38.7306,22.74,93,0,1.01,BR,1694566129
126,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,94,75,3.0,RU,1694565998
127,tranas,58.0372,14.9782,13.55,81,87,1.78,SE,1694566129
128,pauri,30.15,78.7833,20.05,95,69,0.8,IN,1694565983
129,guerrero negro,27.9769,-114.0611,24.61,69,0,6.78,MX,1694566129
130,avarua,-21.2078,-159.775,24.03,64,20,5.66,CK,1694566130
131,bayanhongor,46.7167,100.1167,11.9,42,100,1.19,MN,1694566130
132,alesund,62.4723,6.1549,10.97,78,75,2.57,NO,1694566130
133,mocimboa,-11.3167,40.35,23.08,84,62,1.55,MZ,1694566130
134,huarmey,-10.0681,-78.1522,19.04,82,13,5.36,PE,1694566130
135,carnarvon,-24.8667,113.6333,21.12,67,1,9.64,AU,1694566130
136,ust-nera,64.5667,143.2,5.71,51,9,2.56,RU,1694566131
137,puerto aysen,-45.4,-72.7,2.75,99,79,2.06,CL,1694566131
138,waingapu,-9.6567,120.2641,28.62,53,2,6.1,ID,1694566131
139,ostersund,63.1792,14.6357,9.25,76,15,6.69,SE,1694566025
140,datong,40.0936,113.2914,17.64,63,51,2.64,CN,1694566131
141,ukata,10.8312,5.8249,20.73,93,100,1.65,NG,1694566131
142,tazovsky,67.4667,78.7,6.32,76,100,4.82,RU,1694566132
143,ballina,-28.8667,153.5667,20.99,60,0,3.07,AU,1694566132
144,raymondville,26.4815,-97.7831,33.48,62,0,6.04,US,1694565895
145,aasiaat,68.7098,-52.8699,0.69,98,100,5.75,GL,1694566132
146,east london,-33.0153,27.9116,13.75,67,32,6.86,ZA,1694566132
147,saint-pierre,-21.3393,55.4781,22.82,64,100,1.54,RE,1694566132
148,iqaluit,63.7506,-68.5145,3.85,86,100,7.72,CA,1694566132
149,walvis bay,-22.9575,14.5053,12.53,47,0,1.03,NA,1694566132
150,bilibino,68.0546,166.4372,6.74,69,96,1.1,RU,1694566133
151,luanda,-8.8368,13.2343,21.0,88,20,2.57,AO,1694565534
152,itaituba,-4.2761,-55.9836,31.09,66,20,0.0,BR,1694565967
153,zhelezinka,53.54,75.3072,10.52,93,100,5.95,KZ,1694566133
154,puerto ayora,-0.7393,-90.3518,24.19,89,41,2.24,EC,1694566133
155,kos,36.8933,27.2889,24.69,51,0,5.33,GR,1694565990
156,kollam,8.8833,76.6,25.54,86,100,2.79,IN,1694566133
157,afaahiti,-17.75,-149.2833,25.93,78,94,10.3,PF,1694566134
158,villa gesell,-37.2639,-56.973,9.47,69,98,2.57,AR,1694566134
159,port alfred,-33.5906,26.891,12.32,75,46,2.24,ZA,1694566134
160,donggang,28.9365,114.2259,21.24,96,100,1.01,CN,1694566134
161,tralee,52.2704,-9.7026,9.31,91,63,1.37,IE,1694566134
162,mazagao,-0.115,-51.2894,28.03,73,15,2.99,BR,1694566134
163,dryden,49.7833,-92.7503,11.16,54,0,1.54,CA,1694566135
164,torrington,41.8007,-73.1212,21.0,93,25,0.74,US,1694566135
165,angaur state,6.906,134.13,28.61,75,100,4.79,PW,1694566135
166,campbell river,50.0163,-125.2446,15.74,94,100,1.54,CA,1694565850
167,kapuskasing,49.4169,-82.4331,9.05,93,75,3.6,CA,1694566135
168,kirakira,-10.4544,161.9205,28.58,73,100,5.44,SB,1694566135
169,kedougou,12.5579,-12.1743,27.32,94,0,1.03,SN,1694566135
170,nelson bay,-32.7167,152.15,22.22,68,0,1.79,AU,1694566135
171,mtwara,-10.2667,40.1833,23.3,83,26,3.48,TZ,1694566136
172,invercargill,-46.4,168.35,8.9,84,74,9.83,NZ,1694566136
173,athni,16.7333,75.0667,21.0,92,62,4.07,IN,1694566136
174,geraldton,-28.7667,114.6,20.23,73,40,12.35,AU,1694566136
175,volksrust,-27.3654,29.8818,4.91,83,100,2.1,ZA,1694566136
176,scottburgh,-30.2867,30.7532,12.7,81,13,3.03,ZA,1694566136
177,shache,38.4167,77.2406,24.84,25,0,6.27,CN,1694566137
178,puerto madryn,-42.7692,-65.0385,12.17,44,0,2.99,AR,1694566100
179,port moresby,-9.4431,147.1797,28.68,58,75,6.69,PG,1694566007
180,sinabang,2.4803,96.3801,27.05,84,98,2.88,ID,1694566137
181,pacasmayo,-7.4006,-79.5714,19.0,83,10,7.37,PE,1694566137
182,mutum,-19.8,-41.4383,20.2,89,1,1.23,BR,1694566137
183,altamira,-3.2033,-52.2064,27.63,47,74,1.35,BR,1694566137
184,mount pearl,47.5166,-52.7813,13.86,94,75,5.14,CA,1694566137
185,bengkulu,-3.8004,102.2655,25.01,77,13,1.77,ID,1694566138
186,kupang,-10.1667,123.5833,30.32,51,20,9.26,ID,1694566138
187,tura,25.5198,90.2201,24.58,96,100,1.93,IN,1694566138
188,kigali,-1.95,30.0588,16.71,100,40,0.0,RW,1694566138
189,gijang,35.2442,129.2139,25.85,71,100,3.55,KR,1694566138
190,biltine,14.5333,20.9167,26.27,64,100,4.26,TD,1694566138
191,mega,4.05,38.3,17.36,69,11,4.1,ET,1694566138
192,hotan,37.0997,79.9269,22.31,18,0,3.58,CN,1694566139
193,longyearbyen,78.2186,15.6401,0.91,86,75,1.54,SJ,1694566139
194,kangaba,11.9333,-8.4167,24.83,84,100,1.56,ML,1694566139
195,hadibu,12.65,54.0333,26.33,81,57,7.27,YE,1694566139
196,aleksandrovsk-sakhalinskiy,50.8975,142.1561,16.83,59,0,4.72,RU,1694566139
197,saudarkrokur,65.7461,-19.6394,4.95,66,100,4.34,IS,1694566139
198,santyoku,37.4406,129.1708,21.05,92,100,3.34,KR,1694566139
199,konstantinovka,49.6167,127.9833,14.09,54,0,4.7,RU,1694566140
200,ola,59.5833,151.2833,7.86,92,100,4.3,RU,1694566140
201,flin flon,54.7682,-101.865,15.63,51,15,2.87,CA,1694566140
202,shingu,33.7333,135.9833,27.86,70,98,2.61,JP,1694566140
203,mpongwe,-13.5091,28.155,24.27,29,0,5.84,ZM,1694566140
204,inarajan village,13.2736,144.7484,31.89,83,60,4.23,GU,1694566140
205,plastun,44.7561,136.2939,18.41,50,100,2.29,RU,1694566141
206,fale old settlement,-9.3852,-171.2468,28.48,73,17,5.27,TK,1694566141
207,taurage,55.2522,22.2897,16.59,83,29,0.89,LT,1694566141
208,constantia,44.1833,28.65,15.39,67,0,2.87,RO,1694565861
209,touros,-5.1989,-35.4608,25.07,79,9,6.68,BR,1694566141
210,okhotsk,59.3833,143.3,7.58,89,100,5.72,RU,1694566141
211,kailua-kona,19.6406,-155.9956,29.98,80,75,5.14,US,1694566141
212,haiku-pauwela,20.9219,-156.3051,29.01,56,20,13.38,US,1694566142
213,tolanaro,-25.0319,46.9987,20.04,88,20,4.12,MG,1694566142
214,luderitz,-26.6481,15.1594,16.25,39,0,3.4,NA,1694566142
215,oulmes,33.4258,-6.0014,14.87,77,0,1.73,MA,1694566142
216,dunedin,-45.8742,170.5036,14.33,37,8,2.68,NZ,1694566142
217,lihue,21.9789,-159.3672,28.77,65,20,6.17,US,1694566143
218,xining,36.6167,101.7667,12.47,59,5,1.34,CN,1694566143
219,nuuk,64.1835,-51.7216,4.34,87,100,11.32,GL,1694566114
220,bafoulabe,13.8065,-10.8321,26.61,83,100,1.83,ML,1694566143
221,boksitogorsk,59.474,33.8485,13.67,87,93,2.71,RU,1694566143
222,laojunmiao,39.8333,97.7333,20.4,22,5,1.92,CN,1694566143
223,keflavik,64.0049,-22.5624,8.24,81,100,8.23,IS,1694566143
224,makokou,0.5738,12.8642,20.67,95,6,1.24,GA,1694566144
225,kerikeri,-35.2268,173.9474,18.84,65,59,2.24,NZ,1694566144
226,terme,41.2092,36.9739,14.96,77,9,3.37,TR,1694566144
227,gereida,11.2811,25.1414,25.12,81,99,1.62,SD,1694566144
228,kiunga,-6.1219,141.2906,26.13,72,100,2.98,PG,1694566144
229,pangody,65.85,74.4859,7.24,70,98,3.79,RU,1694566144
230,orai,25.9833,79.4667,28.36,81,100,1.08,IN,1694566145
231,cill airne,52.05,-9.5167,8.99,92,69,0.81,IE,1694566145
232,lompoc,34.6391,-120.4579,22.79,83,2,2.24,US,1694566145
233,millom,54.2107,-3.272,9.93,81,13,3.6,GB,1694566145
234,saldanha,-33.0117,17.9442,6.03,73,1,4.33,ZA,1694566145
235,valga,57.7778,26.0473,13.33,92,41,2.04,EE,1694566145
236,santo antonio do ica,-3.1022,-67.9397,24.82,87,94,1.27,BR,1694566145
237,bambari,5.768,20.6757,21.99,97,100,0.32,CF,1694566146
238,mount isa,-20.7333,139.5,25.87,22,0,8.23,AU,1694566146
239,las praderas,-3.3348,-79.7984,24.74,84,29,0.23,EC,1694566146
240,cockburn town,21.4612,-71.1419,29.25,77,100,8.64,TC,1694566146
241,ekibastuz,51.6667,75.3667,11.5,88,99,2.84,KZ,1694566146
242,puerto baquerizo moreno,-0.9,-89.6,23.51,77,91,4.34,EC,1694566146
243,mil'kovo,55.6078,37.7956,10.03,76,0,1.92,RU,1694566146
244,katsuren-haebaru,26.3369,127.8719,31.01,79,20,4.63,JP,1694566146
245,rawson,-43.3002,-65.1023,9.3,54,5,3.59,AR,1694566147
246,perstorp,56.1383,13.3948,16.51,100,75,1.54,SE,1694566147
247,polyarnyy,69.1989,33.4478,9.51,93,100,5.44,RU,1694566147
248,canmore,51.0834,-115.3521,20.45,48,99,1.54,CA,1694565614
249,richards bay,-28.783,32.0377,13.31,76,34,0.48,ZA,1694566082
250,westport,41.1415,-73.3579,23.99,83,0,3.58,US,1694566147
251,imuris,30.7833,-110.8667,31.72,33,5,5.27,MX,1694566147
252,vorgashor,67.5833,63.95,7.78,92,28,6.49,RU,1694566148
253,quellon,-43.1167,-73.6167,8.14,87,100,1.03,CL,1694566148
254,forster,-32.1667,152.5167,21.27,59,0,3.43,AU,1694566148
255,anadyr,64.75,177.4833,9.28,61,0,7.0,RU,1694566148
